event_id,time_s,lat,lon,peak_mag,peak_vertical,peak_mag_g,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,level,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,top2_peak_ratio,duration_above_threshold,max_jerk,peak_to_peak,fft_high_low_ratio,zcr,kurtosis,skewness,gyro_pitch_energy,gyro_roll_energy,gyro_yaw_energy,gyro_pitch_roll_ratio,trip_id,suggested_label,suggested_raw_label,suggested_kind,suggestion_confidence,suggestion_rule,suggestion_reason,needs_review,speed_factor,score,priority
369,1776414054.2738,-6.8223926,109.4776971,92.30071,-54.86598381382798,9.4120530456374,-5.594773323594498,4.8370173485481995,1.9771557999999998,0.010000228881835938,30.980454358881076,candidate,1,4,0.0,0.0,0.5856322394776884,85806.75975975508,2837.3485564496914,30.24188182113276,0.1,0.0,0.010000228881835938,8487.479188716981,93.41624274640765,81.34561374035053,0.3022670025188917,0.10367342331977225,-0.2176555950285994,555.8974484822368,1883.5714827597587,397.8796252076955,0.2951294672250087,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Maneuver,condition_like,0.88,R5,gyro dominan + asimetri tinggi → maneuver (Non-Event),False,1.0,0.5955135279079158,medium
370,1776414055.803,-6.8222372,109.4777523,88.09082,-33.51531981908804,8.982763736852034,-3.417611500266456,2.6545463296778697,2.5548666,0.04500102996826172,36.62136502920017,normal,1,4,0.0,0.0,0.1277158748666191,69313.64771696534,2547.547029905367,27.207995328876077,0.1,0.0,0.04500102996826172,8487.479188716981,95.1805024819986,31.53023143749463,0.3333333333333333,1.4040029571292685,-0.24235110456283532,320.91339687937307,1956.7474321967434,269.8862008292507,0.16400348426935,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,1.0,0.3294449899275297,medium
371,1776414058.897,-6.8222372,109.4777523,60.274338,38.38310877281464,6.146271968511163,3.913987832013444,2.620275608711803,2.5548666,0.055001258850097656,34.261348855009906,normal,2,5,0.8400001525878906,0.0,0.0753237715576477,33785.050284240235,1362.618148062687,24.79421715282464,0.8400001525878906,0.7908679114168754,0.055001258850097656,6852.112938583038,76.67613079495655,74.22434009248687,0.34595959595959597,1.315345555859822,-0.16340234429056072,159.3485345326863,1085.9940195602896,117.27559396971115,0.14673058185944216,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Non-Event,condition_like,0.5946666666666666,ML_Ensemble(RF)_LOW_CONF,"ML ragu-ragu (Conf: 59%), pakai tebakan terbaik ML",True,1.0,0.37372651958536074,medium
372,1776414064.51,-6.8222372,109.4777523,102.50849,-66.13069624667322,10.452956922088584,-6.743454313825132,5.671849024940522,2.5548666,0.0650014877319336,43.905963848064616,candidate,1,3,0.0,0.0,0.0024408921598788793,45391.93675918195,1906.854780692167,23.80461123468488,0.1,0.0,0.0650014877319336,8780.991788660729,95.54540640808774,71.4085747480877,0.3367088607594937,4.178817828858019,-0.9443654005300945,176.60775845286372,1589.7319384704979,140.51508376880543,0.11109279122346097,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Crack,condition_like,0.76,R4,spike kecil/rapat + durasi sangat singkat → Non-Event,True,1.0,0.730847633988841,high
373,1776414069.584,-6.8217733,109.4781458,90.363,-35.441028366542625,9.214461615332453,-3.6139791229974176,0.9307592958003428,2.6272352,0.0,32.481909692577204,normal,0,4,0.0,0.0,0.27566831389960134,47851.93611953022,2333.087679503966,20.510131924914976,0.0,0.0,0.0,6496.233251536112,66.379551970857,20.125509551013824,0.3065326633165829,0.19452144576492314,-0.1504754587208747,204.48594202106557,1948.9570988199503,179.64463866295003,0.10492069940377677,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,1.0,0.28628343092977904,low
374,1776414073.535,-6.8217733,109.4781458,80.74916,-35.52324526139955,8.23412276363488,-3.6223629130640487,4.591098492741688,2.6272352,0.0,31.440975352387518,candidate,0,4,0.0,0.0,0.21966229858694394,46673.56700603636,1510.9467797359514,30.890278599556375,0.0,0.0,0.0,8749.034172684655,59.35074998979152,41.82494010911039,0.32323232323232326,-0.1697110616553399,-0.12294387749520833,203.45923785692915,1130.1903426859624,177.29719919305967,0.18002209892660598,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,1.0,0.40904927860048734,medium
375,1776414082.7677498,-6.8217121,109.4783806,104.12138,-73.52673471705253,10.61742593036358,-7.497640347830558,6.929326292599231,1.918774,0.03500080108642578,27.988668912840573,candidate,2,4,0.315000057220459,0.0,0.32719549208850995,74234.06040774546,2947.358847222342,25.186638014071036,0.315000057220459,0.7176852797741217,0.03500080108642578,9882.242314447736,96.92191541010963,81.3415887503476,0.3256997455470738,0.9435007676405944,-0.33204143747710785,431.2356429613411,2256.79512606522,259.3280781957807,0.1910832036943151,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Speed Bump,Speed Bump,event,0.9,R3,multi-peak terstruktur + durasi lebih panjang + shape relatif simetris,False,1.0,0.8074126913862321,high
376,1776414086.6955,-6.8214183,109.4792533,99.516464,-45.216133064305104,10.147855179903434,-4.610762397383929,5.8690242968113955,4.849198,0.04000091552734375,40.02100164573386,candidate,2,6,0.4049999713897705,0.0,0.3306375401779024,79520.55626495872,2746.836797359033,28.949865646355292,0.4049999713897705,0.9438767721783665,0.04000091552734375,8594.745369915332,87.94047112694403,57.175079873623496,0.3082706766917293,0.4709325752204605,-0.48633621362607815,391.90004004438305,2045.156305094028,309.7804522206219,0.19162351497370833,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Pothole,Pothole,event,0.4342028985507247,ML_Ensemble(RF)_LOW_CONF,"ML ragu-ragu (Conf: 43%), pakai tebakan terbaik ML",True,1.0,0.5436028276561509,medium
377,1776414094.710875,-6.8214183,109.4792533,104.56154,-59.06526326382898,10.662309759194017,-6.022980657393604,4.017080856860335,4.849198,0.010000228881835938,49.04743791348181,candidate,1,4,0.0,0.0,0.4146408774093442,130194.47053712666,4311.464183703467,30.197275208510433,0.1,0.0,0.010000228881835938,10821.1832527657,108.00943602691069,159.00837647625627,0.3047858942065491,-0.035098774378400144,-0.19154995474625258,472.1836003631056,3470.3638131842517,368.91677015610964,0.13606170005380192,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Crack,condition_like,0.76,R4,spike kecil/rapat + durasi sangat singkat → Non-Event,True,1.0,0.6067209715602399,high
378,1776414097.7415,-6.82129,109.4796033,42.439808,-31.785340538276763,4.327656029327039,-3.241202708190541,1.413782234712086,3.9082859,0.0,41.46416509093738,normal,0,5,0.0,0.0,0.008006488860093619,35358.78871445889,1364.0836893542307,25.921275186038457,0.0,0.0,0.0,8292.643214647102,59.24410384693124,5.442698454842544,0.327455919395466,0.43330244197852563,-0.023363173267937937,270.1616045415043,873.8873345698358,220.03475024289062,0.30914923874636535,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,1.0,0.26883431822755155,low
