event_id,trip_id,time_s,label,pred_label,error_type,pothole_confidence,speed_mean,vertical_energy
44,178e7720-4939-4df4-b9af-2a0a7e15ece3,1775973193.69,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.14059524,7.58755,22863.27187850138
187,2ba192ad-a007-47e8-843d-e4f356c01155,1776326770.87,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.13885443,4.6911783,19478.32202494136
38,178e7720-4939-4df4-b9af-2a0a7e15ece3,1775973087.17,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.13866387,8.796218,62976.72152157746
469,c72307ef-f384-4659-aded-5319b398f560,1776413107.91,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.13803409,6.420327,60745.49463166823
378,44eda033-50cf-4664-89ef-2aa88372c53f,1776330094.93,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.13803305,7.4466925,97249.18306349072
183,2ba192ad-a007-47e8-843d-e4f356c01155,1776326738.9,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.13677931,8.61542,74615.44237685355
68,cc249e1a-62c0-4274-812f-0019a041760e,1775973487.02,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.13615468,8.617479,134162.99110245673
59,cc249e1a-62c0-4274-812f-0019a041760e,1775973405.59,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.13518584,5.8539505,100109.46199979066
343,3a9b8fd6-92e7-4ce1-89d1-f0025de3bc91,1776329525.52,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.13497937,4.329484,90265.7122381773
521,40a7a6c4-b8d9-447a-ba96-8503647f43bb,1776413842.15,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.13076368,10.877279,102006.86202233238
80,cc249e1a-62c0-4274-812f-0019a041760e,1775973612.61,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.12973946,9.207847,79445.48636569953
435,c72307ef-f384-4659-aded-5319b398f560,1776412770.75,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.12803645,8.278792,88772.77067576692
62,cc249e1a-62c0-4274-812f-0019a041760e,1775973440.67,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.12748228,7.445923,76826.61916370619
409,44eda033-50cf-4664-89ef-2aa88372c53f,1776330657.44,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.12638171,13.218589,76428.00125803333
438,c72307ef-f384-4659-aded-5319b398f560,1776412778.8,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.12612124,8.278792,142415.69772267487
104,cc249e1a-62c0-4274-812f-0019a041760e,1775973921.53,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.1251243,10.214148,85469.60356026253
198,2ba192ad-a007-47e8-843d-e4f356c01155,1776326926.88,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.12388258,6.977751,87907.62865604465
96,cc249e1a-62c0-4274-812f-0019a041760e,1775973750.25,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.11978944,5.35019,28965.513619628724
201,2ba192ad-a007-47e8-843d-e4f356c01155,1776326962.81,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.11653795,1.8755356,38959.988478963445
83,cc249e1a-62c0-4274-812f-0019a041760e,1775973640.44,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.11446522,9.797223,133012.578647136
352,3a9b8fd6-92e7-4ce1-89d1-f0025de3bc91,1776329773.4,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.11319989,5.474096,18020.009867597662
592,2403297f-866d-495e-a41b-b29966866b69,1776417722.03,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.112313576,2.5360343,38213.10637209509
284,7b68bd61-6146-4cdb-8ad6-424ae6e78950,1776328391.37,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.11164133,12.233199,41219.22140818436
211,635ce134-fb1a-4d66-97a1-2eba272d836a,1776327186.72,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.111381896,10.716585,5907.197479444309
414,44eda033-50cf-4664-89ef-2aa88372c53f,1776330736.23,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.11128954,14.5803,63841.278203160175
10,178e7720-4939-4df4-b9af-2a0a7e15ece3,1775972418.45,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.10971269,9.365886,12223.967696979184
582,2403297f-866d-495e-a41b-b29966866b69,1776417617.03,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.10546601,6.2492,47645.27861875634
505,40a7a6c4-b8d9-447a-ba96-8503647f43bb,1776413715.76,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.10500054,5.8750396,93462.36062273044
573,2403297f-866d-495e-a41b-b29966866b69,1776417514.77,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.10476401,12.029584,68300.90243401991
493,c72307ef-f384-4659-aded-5319b398f560,1776413456.07,Pothole,Non-Event,FALSE_NEGATIVE (Model Missed It),0.104045585,3.6966174,22354.42017565529
