event_id,time_s,lat,lon,peak_mag,peak_vertical,peak_mag_g,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,level,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,top2_peak_ratio,duration_above_threshold,max_jerk,peak_to_peak,fft_high_low_ratio,zcr,kurtosis,skewness,gyro_pitch_energy,gyro_roll_energy,gyro_yaw_energy,gyro_pitch_roll_ratio,energy_psd_2_10,speed_vert_interaction,speed_normalized_p2p,horizontal_to_vertical_ratio,grav_y_std,grav_z_std,linear_jerk_3d_max,snr_vertical,crest_factor,hjorth_activity,hjorth_mobility,hjorth_complexity,corr_xy,corr_xz,corr_yz,impulse_factor,clearance_factor,shape_factor,time_center_of_mass,min_z_to_max_z_ratio,first_peak_polarity,rise_time_ratio,peak_asymmetry,waveform_complexity,brake_to_bump_ratio,down_up_asymmetry,trip_id,suggested_label,suggested_raw_label,suggested_kind,suggestion_confidence,suggestion_rule,suggestion_reason,needs_review,speed_factor,score,priority,label
168,1779784153.08,-6.8970977,109.4107676,21.83346406721,3.439206527324167,2.226393729480506,0.3507014655691971,1.191580751630476,8.766165,0.0099999904632568,522.4835144579018,normal,0,0,0.0,0.0,0.3314649106413398,844.282118269052,110.72807553611837,7.624824206114118,2.0,0.0,0.0,512.4049709647505,10.794628739383953,0.0,0.2736318407960199,-0.14088647558834166,0.4700466748225213,58.74787706522748,34.42770540029474,17.55249307059616,1.7064127474005801,0.0,7401.116355296025,1.1053088637539865,82.24967522131719,0.5581343950083413,0.14938552598235563,6550.5947416292365,1.0,2.828666145690624,4.198176245635377,0.861673368950968,1.5120317561935515,-0.7249611770662935,-0.33697246656564395,-0.31541231524725577,3.5005943028713005,4.0945743113806845,1.2375418004606586,-0.7800306380112939,-0.8620014037289642,1.0,12.333332511111166,-0.8099114024385233,82.45704176730541,31.52468171828901,0.8866760110786348,bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Non-Event,condition_like,0.91245286755636,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 91%),False,1.0,0.2497193488509393,low,Non-Event
169,1779784155.64,-6.8970977,109.4107676,13.281315513900724,1.8565068846626311,1.3543172759199853,0.1893110169795629,1.2726356055295251,8.766165,0.0399999618530273,418.8101171471614,normal,0,0,0.0,0.0,0.11177362555712682,673.9359852737766,219.3967442261577,3.071768382794706,2.0,0.0,0.029999971389770508,445.7080773482898,10.351353567406594,0.0,0.25870646766169153,-0.014718029690825585,-0.41581449931515285,120.18337298301395,68.65739418385107,30.555977059292623,1.7504796484222334,0.0,5907.834046347497,1.0599199959663381,202.641907101617,0.19065855992243236,0.07028226941162026,8034.618308789999,1.0,3.0515389548477314,3.3461160319738523,0.8145836291192221,1.5669561965926364,-0.6667663019660419,-0.5107022451440154,-0.2568818228455016,3.8041658255596484,4.453009517339508,1.2466377799252384,-0.820696922732995,-1.172970534246345,-1.0,8.999999550000021,-0.8230337731904314,100.0,84.87357912801501,1.2222320189532565,bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Non-Event,condition_like,0.9266391262055772,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 93%),False,1.0,0.2824211487040115,low,Non-Event
170,1779784163.58,-6.8977667,109.4106963,47.64884487655044,12.225158924663448,4.858829965028878,1.2466192761711132,0.8878933303357378,5.548077,0.0699999332427978,990.7355027370442,normal,0,0,0.0,0.0,0.09494730665599957,2668.000919740383,138.92226616679312,19.20499120948784,2.0,0.0,0.059999942779541016,957.9483589712574,24.122981203406155,0.0,0.24378109452736318,0.8909217331927795,0.06862598040200849,59.9932749574812,54.114576665744366,24.81441454356755,1.1086342635444455,0.0,14802.274538790465,3.683979465025557,37.77740749651658,0.08509714601762242,0.3182464501759546,7236.4080870032785,1.0,3.5534212626819723,13.272684462749716,0.7603839828123939,1.2079991907134568,-0.740895177345315,-0.4528651477050757,-0.1397071379667363,4.610620396268415,5.5053523352345435,1.29751548998226,-0.06762858806354445,-0.8633274769974357,1.0,0.9801980100970494,-0.2547157380597239,100.0,14.45780943291211,1.0967131292758587,bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Non-Event,condition_like,0.8731385593281527,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 87%),False,1.0678500673168214,0.468059742971282,medium,Non-Event
171,1779784166.37,-6.8977667,109.4106963,74.41028554311788,-10.065903432390432,7.587737458063445,-1.02643649282787,2.8829468888188003,5.548077,0.0199999809265136,1172.2617740343028,normal,0,0,0.0,0.0,0.20602320920571957,5245.787865016058,146.74784018178377,35.74695084282598,2.0,0.0,0.019999980926513672,1070.9522779583053,28.89281911703299,0.0,0.23880597014925373,0.053197751945113225,-0.3679769162613245,85.47662513911816,34.60508796057226,26.66612708209334,2.4700593960763118,0.0,29104.035000774697,4.412412852969351,18.25928404615193,0.23631202305420576,0.3778571748012327,7867.930059958307,1.0,2.8441647542112807,26.08943501437067,0.7424054464177614,1.1761460183770727,-0.4128701373709316,-0.533157609310217,-0.35569682441318773,3.5363663616242396,4.128715368168835,1.243375815046919,0.07837964109951086,-1.0116236211374627,-1.0,0.8018017945783622,-0.012814181928723594,100.0,11.307075764497297,1.1251695080487483,bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Non-Event,condition_like,0.9223221967861852,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 92%),False,1.0678500673168214,0.3534249889069067,medium,Speed Bump
172,1779784174.36,-6.8976761,109.4100385,116.52397363813564,28.48010856211444,11.882138511941962,2.9041628448159607,3.8133913077899737,3.840678,0.0299999713897705,2608.22383985755,high_conf,0,0,0.0,0.0,0.26767065262501455,8033.8023236181125,283.23943058938937,28.36399677310704,2.0,0.0,0.029999971389770508,3410.172556081379,52.91656512477421,0.0,0.23880597014925373,6.8861279496960695,0.9089313289372215,208.25601615804914,43.46480037410639,31.518614057233833,4.791371628862776,0.0,30855.24784066896,10.931643279055997,10.431334969890264,0.1624793542264383,0.26626527498791486,16403.31431196601,1.0,5.686451710501979,39.96637155612831,0.7895735301198045,1.4171495811565986,0.12601497579814178,-0.5313142426048731,-0.41949584634749887,8.979842756678412,12.087292973754039,1.5791642650739335,-0.03181902000370564,-0.4719317587176495,1.0,0.9801980100970494,-0.27925133756130316,100.0,7.9350671882386825,0.8057965613748346,bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Non-Event,condition_like,0.8679512759589699,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 87%),False,1.1254571189387268,0.9083710885004572,high,Speed Bump
173,1779784178.81,-6.8976761,109.4100385,55.83401634162601,2.156807889045948,5.693485169923064,0.2199331972738854,0.4412135900346339,3.840678,0.0499999523162841,995.1616737512768,normal,0,0,0.0,0.0,0.25549844291505214,3514.7229844881035,134.58212691308952,26.115822650373325,2.0,0.0,0.04999995231628418,818.0143974784155,28.165336670996673,0.0,0.19402985074626866,2.2915746031864446,-0.5422869386824797,94.71917453767381,22.402102158308885,17.460850217106834,4.228137593525128,0.0,13498.919242617798,5.81846936957936,18.79491569360741,0.26492222947091887,0.32265512336808444,8787.74460820491,1.0,3.3828873604609173,17.486102264917385,0.5424523171623846,1.6478336020718345,-0.43714729466662294,-0.18977247427531502,-0.487536593142059,4.830958363752706,6.113062032507571,1.428057364528599,0.14238069715728863,-1.0090418758530126,1.0,0.8867924444642222,0.4293280022884059,48.25927254753957,11.925424952376645,1.0723372320664961,bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Non-Event,condition_like,0.9341130897384564,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 93%),False,1.1254571189387268,0.2979164585979373,low,Speed Bump
174,1779784182.23,-6.8976759,109.4100421,27.89153997821937,4.370500958457283,2.8441455520712347,0.4456670686174466,0.8867850815831091,2.0799558,0.0199999809265136,658.0644573921743,normal,0,0,0.0,0.0,0.5724961214413837,2064.9049590803133,135.27026069423982,15.265032633320045,2.0,0.0,0.019999980926513672,747.6507770838098,19.25342576713611,0.0,0.21890547263681592,0.7503543330457538,-1.2245754226162053,79.91702162081,35.10268333414917,20.250555739280642,2.2766641109285146,0.0,4498.403061144361,6.057386644560238,40.44605311953537,0.12655047665547303,0.2905289384211358,7812.72984053624,1.0,3.6285200257880383,10.273032387216151,0.7354582872104029,1.271849808141315,-0.5985313767481784,-0.1764911721615158,-0.5217794704149149,4.667281761410522,5.597156563086481,1.2862765733882253,-0.10544588732040806,-1.5255779636338724,-1.0,1.4096385372332707,0.025680733927949208,75.6600449467049,20.068246266082546,1.1812479449387316,bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Non-Event,condition_like,0.944635144114328,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 94%),False,1.2364706291128664,0.3085729717447907,medium,Non-Event
175,1779784185.23,-6.8976759,109.4100421,58.93188565639192,-3.3114116892405248,6.0093799265184265,-0.3376700187363192,0.8150641096461909,2.0799558,0.0,588.7220382461189,normal,0,0,0.0,0.0,0.488139268725612,1315.3304695486988,157.25846193991657,8.364131538353167,2.0,0.0,0.019999980926513672,683.0025658204793,13.440582419979403,0.0,0.263681592039801,0.03669292789585432,0.4894018173167121,82.59786412448817,51.28104796277529,23.3795498526531,1.610689831724106,0.0,2735.8292390545394,4.363888085659997,83.59463150206359,0.14345054079400377,0.18590800850358044,8294.45240484833,1.0,2.7840724178131677,6.539090053139556,0.8284974988895424,1.236662106892605,-0.5370612798056226,-0.5334961031836268,-0.3240592569315539,3.514364866586036,4.185964019457446,1.2623103732102694,-0.21587871084235458,-0.8872000987984855,1.0,1.5641025440499674,-0.4375772594880757,100.0,50.19676139167768,0.8742534289024771,bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Non-Event,condition_like,0.9298687941471832,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 93%),False,1.2364706291128664,0.2808875535699581,low,Non-Event
176,1779784187.26,-6.8976759,109.4100421,42.976723847989575,0.0518079383749976,4.382406208847015,0.0052829394721946,0.2544929253682703,2.0799558,0.0099999904632568,643.8419869358569,normal,0,0,0.0,0.0,0.08931898964892558,1396.40001126053,157.70538807876346,8.85448505861217,2.0,0.0,0.04999995231628418,707.9993627634537,12.970681460743569,0.0,0.25870646766169153,-0.44753756512887666,0.30700193724680797,89.92272980854523,44.48588704042014,23.296771229798082,2.0213765256712626,0.0,2904.4503025414047,4.2113206497130795,70.5523970410847,0.20645530495647696,0.10078587445392766,9746.906142052007,1.0,2.531048515968675,6.943462156643748,0.8398240363715314,1.163393797595225,-0.5397295085116461,-0.43759832689759076,-0.41753853883621567,3.0733672686264195,3.5564975153127336,1.2142659783929193,0.5147956051730849,-0.9442639982083364,-1.0,0.3245033091092496,0.5767678916963849,100.0,35.77158377903667,0.8920799987678714,bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Non-Event,condition_like,0.9408343323392484,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 94%),False,1.2364706291128664,0.2701479212396284,low,Non-Event
177,1779784190.38,-6.8976759,109.4100421,20.149712519881007,-4.59411514862482,2.054698854336701,-0.4684693701340233,0.6050973593537448,2.0799558,0.0199999809265136,667.8188336656416,normal,0,0,0.0,0.0,0.45366282621190823,1983.4654134279408,152.31326471205665,13.022276189505506,2.0,0.0,0.009999990463256836,822.535083159324,16.210997088644117,0.0,0.23383084577114427,-0.2590368116648616,0.32853515347197987,84.21012840930689,45.30517033450708,22.797965968242675,1.8587310439143514,0.0,4214.735824302329,5.187626346620711,49.194559406263785,0.18251306867433437,0.16425474788393596,8164.215006684495,1.0,2.6127532867884833,9.85526221974212,0.7542565167734135,1.237818476868299,-0.46869400335065814,-0.4804486887118039,-0.3808524886823288,3.2767586909481903,3.9089157332292426,1.2541397094044267,0.6930059833895905,-0.9751354026499363,-1.0,0.10497237511064986,0.8276247613050624,49.415758743991056,29.402585238787108,0.812551983166355,bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Non-Event,condition_like,0.9211238067145884,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 92%),False,1.2364706291128664,0.2969630185741803,low,Non-Event
178,1779784193.01,-6.896347,109.4101605,40.84201624312025,1.9558652406708827,4.164726613381761,0.1994427496312077,1.4336483936588584,8.107219,0.0199999809265136,1374.3218225601347,normal,0,0,0.0,0.0,0.3510461440814537,3970.1923866398183,247.76271943202448,16.02417175480227,2.0,0.0,0.029999971389770508,1629.0830271849595,31.327451545901614,0.0,0.22388059701492538,2.3099650446615945,0.16511462262281643,177.92183503133964,44.13779392347822,25.703090477206658,4.031054005751829,0.0,32187.219150621684,3.4398482726616777,33.82818757230002,0.2151287245133115,0.23908163780955197,16314.757225140685,1.0,3.592829860303434,19.747177541021884,0.7002874097061991,1.452166217290889,-0.30526639791283905,-0.40603151550337513,-0.5603614762390938,5.010771974752173,6.209987216631279,1.394658539962222,-0.17637035450153313,-0.9619166684096647,1.0,1.469135784331657,-0.5954182953357169,55.674283145110984,22.052780788087926,1.0867008992948148,bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Non-Event,condition_like,0.941347960716054,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 94%),False,1.0270046549965135,0.2750197903078711,low,Speed Bump
179,1779784200.27,-6.896347,109.4101605,25.861263266500345,-1.7106390749753335,2.637114944094094,-0.1744366399305913,0.1487469286710233,8.107219,0.1099998950958252,520.0455556700036,normal,0,0,0.0,0.0,0.006499620657324571,1290.7873630125853,152.65996831796429,8.45530998584245,2.0,0.0,0.009999990463256836,617.0949788529467,12.969719916671117,0.0,0.2885572139303483,-0.009518805691931753,0.5128265617866263,91.5216713014738,38.370230918426635,22.768066098063848,2.385225908877609,0.0,10464.695834375529,1.4241142017855413,67.92906695874349,0.10985271621480096,0.13355167192557219,6796.955136732455,1.0,2.845503749147038,6.4197575315732385,0.8285631171761645,1.3337223126934048,-0.6289631820123504,-0.28760511985029913,-0.4557996878522838,3.5736529353184796,4.215872769201652,1.2558941544823732,0.04313278968707812,-0.7986303337491722,1.0,0.7857142786989797,-0.07601630531347194,100.0,28.200928914812476,0.8207404300863539,bf026662-aa33-4c79-b34d-296f7893c390,Non-Event,Non-Event,condition_like,0.923656314935447,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 92%),False,1.0270046549965135,0.3234634615838959,medium,Non-Event
