trip_id,time_s,lat,lon,label,cnn_prediction,cnn_confidence
ed73870a-3468-4be8-9919-dd504a197a50,1779869404.36,-6.8196503,109.5160356,Non-Event,Pothole,0.4396979
ed73870a-3468-4be8-9919-dd504a197a50,1779869329.64,-6.8230162,109.5165071,Non-Event,Speed Bump,0.43588945
5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960697.74,-6.9132561,109.533536,Non-Event,Speed Bump,0.43512347
ed73870a-3468-4be8-9919-dd504a197a50,1779869193.78,-6.8264047,109.5117511,Non-Event,Pothole,0.43355232
ed73870a-3468-4be8-9919-dd504a197a50,1779869461.33,-6.8182813,109.5149605,Non-Event,Pothole,0.42932028
fe628252-e600-47d4-875d-7c6f005a735e,1779785652.32,-6.8942418,109.4103035,Non-Event,Speed Bump,0.42675617
ed73870a-3468-4be8-9919-dd504a197a50,1779869428.12,-6.818819,109.5154507,Non-Event,Speed Bump,0.4260229
ed73870a-3468-4be8-9919-dd504a197a50,1779869500.53,-6.8191037,109.5156341,Non-Event,Speed Bump,0.4204341
ed73870a-3468-4be8-9919-dd504a197a50,1779869440.35,-6.8184987,109.5151352,Non-Event,Pothole,0.42035645
ed73870a-3468-4be8-9919-dd504a197a50,1779869309.62,-6.8233467,109.51558,Non-Event,Pothole,0.41592515
be5b69cb-890c-4018-87e3-886e6d92e8cc,1779866876.32,-6.8495419,109.426296,Non-Event,Pothole,0.40982932
b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,1780380755.76,-6.8907287,109.3758092,Non-Event,Pothole,0.40409616
ed73870a-3468-4be8-9919-dd504a197a50,1779870114.28,-6.8430426,109.4939531,Non-Event,Speed Bump,0.39596698
ed73870a-3468-4be8-9919-dd504a197a50,1779869743.82,-6.8304326,109.5104856,Non-Event,Pothole,0.39146793
fe628252-e600-47d4-875d-7c6f005a735e,1779785648.91,-6.8942418,109.4103035,Non-Event,Speed Bump,0.38369998
ed73870a-3468-4be8-9919-dd504a197a50,1779869277.14,-6.8237417,109.5150283,Non-Event,Speed Bump,0.3783369
ed73870a-3468-4be8-9919-dd504a197a50,1779869449.17,-6.8184753,109.5151123,Non-Event,Pothole,0.3771894
ed73870a-3468-4be8-9919-dd504a197a50,1779869406.38,-6.8196503,109.5160356,Non-Event,Speed Bump,0.368169
ed73870a-3468-4be8-9919-dd504a197a50,1779869668.47,-6.827007,109.512862,Non-Event,Speed Bump,0.36790386
