event_id,cnn_prediction,ground_truth,pothole_prob,event_id_on_trip,trip_id,time_s,lat,lon
2982,Non-Event,Non-Event,0.3445626,23,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958124.18,-6.9324383,109.5200433
1529,Non-Event,Non-Event,0.3430176,39,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779867782.34,-6.8808333,109.4476267
688,Non-Event,Non-Event,0.3427046,169,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865011.06,-6.8760125,109.43757835
2216,Non-Event,Non-Event,0.34182227,238,ed73870a-3468-4be8-9919-dd504a197a50,1779869724.09,-6.8291538,109.5107562
2132,Non-Event,Non-Event,0.34167692,154,ed73870a-3468-4be8-9919-dd504a197a50,1779869491.86,-6.8189127,109.51548275
2115,Non-Event,Non-Event,0.34053245,137,ed73870a-3468-4be8-9919-dd504a197a50,1779869461.26,-6.8182813,109.5149605
2137,Non-Event,Non-Event,0.34046695,159,ed73870a-3468-4be8-9919-dd504a197a50,1779869498.42,-6.8191037,109.5156341
756,Non-Event,Non-Event,0.3400153,237,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865171.24,-6.8731801,109.4466696
76,Non-Event,Non-Event,0.338841,77,bf026662-aa33-4c79-b34d-296f7893c390,1779783833.02,-6.8972076,109.410451
521,Non-Event,Non-Event,0.33863443,2,7fe6874a-33f5-4a42-bc51-972d099b647a,1779864510.65,-6.8893243,109.4376667
1772,Non-Event,Non-Event,0.3371165,282,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779868467.9,-6.8492797,109.4828307
257,Non-Event,Non-Event,0.33689973,62,16b2f79d-1072-47bc-857d-326afb027ea2,1779784569.17,-6.8956288,109.410463
1191,Non-Event,Non-Event,0.33663076,318,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779866402.32,-6.8384436,109.4513008
1315,Non-Event,Non-Event,0.3365782,49,be5b69cb-890c-4018-87e3-886e6d92e8cc,1779866828.17,-6.8485667,109.4303636
2083,Non-Event,Non-Event,0.33602577,105,ed73870a-3468-4be8-9919-dd504a197a50,1779869383.96,-6.8205713,109.5167837
3781,Non-Event,Non-Event,0.33596668,108,690b686e-8ba1-405d-bd2f-84f6516c0890,1779961314.57,-6.9011077,109.4904503
2970,Non-Event,Non-Event,0.3353938,11,be39b43a-973e-43aa-b09c-bf700836bc0b,1779958090.96,-6.9304733,109.5241333
2165,Non-Event,Non-Event,0.33432546,187,ed73870a-3468-4be8-9919-dd504a197a50,1779869583.36,-6.8230478,109.5164617
784,Non-Event,Non-Event,0.33367184,265,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865243.27,-6.8730778,109.4522665
2055,Non-Event,Non-Event,0.33211482,77,ed73870a-3468-4be8-9919-dd504a197a50,1779869306.96,-6.8233467,109.51558
2150,Non-Event,Non-Event,0.33197102,172,ed73870a-3468-4be8-9919-dd504a197a50,1779869541.03,-6.8208998,109.517047
769,Non-Event,Non-Event,0.33139652,250,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865205.8,-6.8734955,109.4496572
738,Non-Event,Non-Event,0.33079836,219,7fe6874a-33f5-4a42-bc51-972d099b647a,1779865133.79,-6.8727717,109.4442633
3415,Non-Event,Non-Event,0.33075354,13,5f55e871-61cf-46f4-85b8-4f2cab7c3d36,1779960075.86,-6.9546093,109.5084549
1879,Non-Event,Non-Event,0.33046663,389,d4df5c85-fa57-4561-9857-ec3b64f8ef1c,1779868793.57,-6.8359717,109.4984917
1000,Non-Event,Non-Event,0.3304213,127,dfb4f7d0-1b39-4322-9c7f-fb304e5d8530,1779865938.46,-6.8366997,109.4513634
91,Non-Event,Non-Event,0.3301793,92,bf026662-aa33-4c79-b34d-296f7893c390,1779783878.71,-6.8966547,109.4088889
4133,Non-Event,Non-Event,0.3297706,22,b2b0d8ca-c7d3-46d5-ab8e-85502ef48faa,1780380417.52,-6.8967184,109.3865932
