event_id,time_s,lat,lon,peak_mag,peak_vertical,peak_mag_g,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,level,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,top2_peak_ratio,duration_above_threshold,max_jerk,peak_to_peak,fft_high_low_ratio,zcr,kurtosis,skewness,gyro_pitch_energy,gyro_roll_energy,gyro_yaw_energy,gyro_pitch_roll_ratio,trip_id,suggested_label,suggested_raw_label,suggested_kind,suggestion_confidence,suggestion_rule,suggestion_reason,needs_review,speed_factor,score,priority
281,1776414003.6683333,-6.8231183,109.4766921,82.00232,-39.10054490927167,8.361909520580422,-3.987145958025592,6.896727786568877,4.903831,0.0,47.90636609480494,candidate,0,4,0.0,0.0,0.22629304760006058,35739.11588172824,1028.3981189484984,34.75221822023365,0.0,0.0,0.0,5075.02063502753,69.08512177036496,29.10936024092219,0.475,-0.10918032736778827,-0.2241116114648407,146.58329783872858,760.8297544915813,120.98506661818838,0.19266241466071388,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Non-Event,condition_like,0.7971736067264217,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 80%),True,1.0,0.5077597806865219,high
282,1776414007.8616667,-6.8229028,109.4770648,99.69262,-55.898558801759094,10.165818092824768,-5.700066669225382,9.382769629244079,5.2230177,0.0,64.74302352131737,high_conf,0,6,0.0,0.0,0.3238470704466152,54965.502685633975,1639.9646592561385,33.51627264763691,0.0,0.0,0.0,6474.308526513495,84.80281652764478,23.30255411234972,0.425,0.26487941586784647,-0.20033860290096625,194.74329691555857,1296.2330417546336,148.9883205859463,0.15023787428046753,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,1.0,0.8050100003838074,high
283,1776414011.6266668,-6.8229028,109.4770648,75.60298,-36.429462546910784,7.709358445544606,-3.714771358915714,4.162436749012013,5.2230177,0.0,56.592118169807456,candidate,0,5,0.0,0.0,0.13338007603016486,37337.57375664455,737.5618942934206,50.62297007872232,0.0,0.0,0.0,5659.217214030854,67.0905151788852,25.797501896598952,0.49,-0.23298262178916307,-0.18978053332473904,85.28429944840659,570.5735303693556,81.70406447565841,0.14947118076740676,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Non-Event,condition_like,0.8704111709306528,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 87%),False,1.0,0.4346039893704491,medium
284,1776414014.865,-6.8229028,109.4770648,49.21782,-29.90240765525211,5.018820902142934,-3.0491969893135895,1.933303229174746,5.2230177,0.06999993324279785,33.335860493361174,normal,1,5,0.0,0.0,0.14662930113014985,28322.029795386115,989.5960428656306,28.619788822874217,0.1,0.0,0.06999993324279785,4677.3423725704,67.18950905611786,3.2461550123643224,0.375,0.2873990577684684,-0.6462757465161334,121.1575780218103,786.9518810141601,81.48658382966028,0.1539580510459091,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Non-Event,condition_like,0.8278517424166567,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 83%),False,1.0,0.18819251934061038,low
285,1776414016.02,-6.8226415,109.4774927,72.87329,52.395260014982355,7.431007530604233,5.342829612047168,2.417478741310355,4.49699,0.04999995231628418,80.81492732785827,candidate,2,5,0.5799999237060547,0.0,0.3342571109768196,36912.46933959527,1246.7537930768492,29.60686345207946,0.5799999237060547,0.8301075837225071,0.04999995231628418,8081.500439905235,91.36919706441881,3.3803218598519726,0.4079601990049751,1.0983241590581718,0.3204245238270952,178.63041306437913,950.895245775081,117.22813423738909,0.18785498578334076,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Pothole,Pothole,event,0.5318148754891895,ML_Ensemble(RF+XGB)_LOW_CONF,"ML ragu-ragu (Conf: 53%), pakai tebakan terbaik ML",True,1.0,0.6357570629411416,high
286,1776414022.4775,-6.8226415,109.4774927,95.61579,-42.50344636671698,9.750097127969287,-4.334145336757913,3.106669418102007,4.49699,0.0,66.03657756822751,normal,0,7,0.0,0.0,0.10784431595493514,50533.27624569676,753.3178154189559,67.08095194922723,0.0,0.0,0.0,6603.664054567555,83.88371169103907,13.569498012315984,0.38,0.19681317791428032,-0.21195072016144734,127.93692222280845,520.3823561633958,104.99853703275176,0.24585176738157036,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Normal,condition_like,0.92,R6,amplitudo rendah + tidak ada struktur event → Non-Event,False,1.0,0.5036774477837538,high
287,1776414028.69,-6.8226226,109.4775229,49.60708,41.19992658701156,5.058514375449313,4.201223311427609,1.7378257285056664,2.3276963,0.09999990463256836,70.84141697776178,normal,2,5,0.1699998378753662,0.0,0.3616559186404112,18214.108279781885,670.3163845258131,27.17240496141875,0.1699998378753662,0.8707707170757419,0.09999990463256836,7084.148453746612,72.96566168358517,7.617101354169781,0.46766169154228854,2.6831146727798405,0.8162025666685155,161.68536451911947,394.043338578417,114.58768142827662,0.4103238102999153,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Pothole,Pothole,event,0.512170908734912,ML_Ensemble(RF+XGB)_LOW_CONF,"ML ragu-ragu (Conf: 51%), pakai tebakan terbaik ML",True,1.0,0.44561101384510615,medium
288,1776414034.82,-6.8226226,109.4775229,96.754295,-36.8494297734849,9.86619232867493,-3.757596097901414,10.87739507166123,2.3276963,0.07999992370605469,49.199834393866766,high_conf,2,4,0.8500001430511475,0.0,0.3254782117941792,20014.725900455996,520.802929026608,38.43051708528874,0.8500001430511475,0.8219288851228627,0.07999992370605469,4919.988131452995,67.5351565580371,16.124529957841425,0.48258706467661694,2.135711816637314,0.03239537271552508,55.39220803016411,419.40292623157126,46.00779476487259,0.13207396618760264,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Non-Event,condition_like,0.8875672992871066,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 89%),False,1.0,0.48363885694272213,medium
289,1776414036.3325,-6.8225617,109.4777041,74.33559,-38.95226387205388,7.580120632427995,-3.972025500252775,4.298847608407688,1.6107178,0.039999961853027344,50.64512721700902,candidate,2,6,1.2200000286102295,0.0,0.06568423388715293,30428.60220083094,521.1609664460739,58.38618795637162,1.2200000286102295,0.9262436612808007,0.039999961853027344,5113.37568480386,69.72175471059498,10.087407971043161,0.435,0.18356058757691596,0.14213158912381657,75.87361479709152,365.22607082482756,80.06128082415475,0.20774424568868838,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Non-Event,condition_like,0.8619519829575396,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 86%),False,1.0,0.460915833180513,medium
290,1776414051.23,-6.8223926,109.4776971,61.26851,-32.38634831474699,6.247649299200033,-3.302488445569791,2.4106853943043873,1.9771558,0.0,53.104482680150255,normal,0,5,0.0,0.0,0.1930910210596252,19060.46545693806,492.89550752734345,38.67039793867522,0.0,0.0,0.0,5310.453332457977,62.93444328656649,11.775864279345862,0.4577114427860697,1.1533139906779901,-0.0816330983607336,90.80304508669755,328.08760572345886,74.00485671718695,0.2767646300130878,40a7a6c4-b8d9-447a-ba96-8503647f43bb,Non-Event,Non-Event,condition_like,0.7894736546235789,ML_Ensemble(RF+XGB),Dipelajari dari data (Confidence: 79%),True,1.0,0.30274438891278244,medium
