,peak_mag,peak_vertical,peak_mag_g,peak_vertical_g,peak_gyro_mag,speed_mean,event_duration,vert_jrk,num_peaks_accel,num_peaks_gyro,peak_interval_mean,peak_interval_std,asymmetry_score,vertical_energy,gyro_energy,accel_to_gyro_ratio,local_duration,top2_peak_ratio,duration_above_threshold,max_jerk,peak_to_peak,fft_high_low_ratio,zcr,kurtosis,skewness,gyro_pitch_energy,gyro_roll_energy,gyro_yaw_energy,gyro_pitch_roll_ratio,energy_psd_2_10,speed_vert_interaction,speed_normalized_p2p,horizontal_to_vertical_ratio,grav_y_std,grav_z_std,linear_jerk_3d_max,snr_vertical,crest_factor,hjorth_activity,hjorth_mobility,hjorth_complexity,corr_xy,corr_xz,corr_yz,impulse_factor,clearance_factor,shape_factor,time_center_of_mass,min_z_to_max_z_ratio,first_peak_polarity,rise_time_ratio,peak_asymmetry,waveform_complexity,brake_to_bump_ratio,down_up_asymmetry
peak_interval_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peak_interval_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asymmetry_score,-0.002941466549839787,-0.002925498582598754,-0.0029414665498397586,-0.0029254985825987495,0.009986871806735211,-0.022140233640016247,-0.00841212732194668,0.01522040037490853,,,,,1.0,0.013620794281357056,0.015634259366567357,-0.03769743691330629,-0.0028172679713706155,,0.004990897085553416,0.017194303073722852,0.023855658349183587,,0.009456920570923202,0.05544373014836832,0.008942717482085841,0.014651202325250037,0.02426607436770159,0.001165278387941407,-0.007946109240029385,,0.009669199717783414,0.00019134334355556094,0.050556583186838575,0.0096266956458824,-0.02291603152606969,0.012872626698494139,,0.062316550951337195,0.013575618398523979,-0.0021982855439286303,0.0086279734768819,-0.022231377672950973,-0.021462161699320293,0.011943206484730672,0.055876334491768306,0.04944795298092576,0.037405385974915266,0.12883736719824865,-0.008438021965792263,-0.03333172155535033,-0.0504078335786406,0.251586974326741,-0.039165237649390255,0.04019352548499879,-0.005139921266812881
vertical_energy,0.5508394592472713,-0.015162545255806296,0.5508394592472723,-0.015162545255806341,0.49798340702994975,-0.1110843984899305,0.037458183720468885,0.853988894779056,,,,,0.013620794281357056,1.0,0.8085997657406832,0.4092945991895475,0.03885613869783293,,0.039907547645306594,0.869823961357081,0.9186650412275378,,-0.11927137614296418,0.3133748265643462,0.03155990860131054,0.8003674124732004,0.6424074913068641,0.5889138023831424,0.3423139708436121,,0.8827343725088217,0.4993851058630647,-0.38570370171055635,0.11628986332686905,0.14737298270141277,0.7090407748234869,,0.25893483833927405,0.9999973749783516,-0.12484864332106133,-0.05720778328411061,0.39839627921464993,0.1729581748038404,-0.42652547027829735,0.30094416254060885,0.3160815367192824,0.3596874847804709,0.034281530496275255,0.007843918832826619,-0.014603993170976116,-0.049870695019109165,0.014202253612519363,0.03110040943278457,-0.3391860795181315,-0.045132764791317906
gyro_energy,0.5651729355006637,-0.044314564998763295,0.5651729355006658,-0.04431456499876356,0.5109141070974503,-0.1315932853109781,0.014213982013516221,0.7263471911278676,,,,,0.015634259366567357,0.8085997657406832,1.0,-0.0345472075595721,0.043026631629234015,,0.025165033807866458,0.7343864769396914,0.7483679183743452,,0.0026322267968578203,0.20887482402362187,0.005239606139519305,0.975625869141229,0.826630654312594,0.767448240475366,0.36307746235584437,,0.6878105584517399,0.42025496441749266,-0.14516165560144356,0.16903744124118786,0.13550757074234637,0.7732167957719767,,0.18670664319128966,0.8085447589567428,0.0427301354959072,-0.047118277914232135,0.2290220334484849,0.2665585175549233,-0.4266614864038604,0.20738755577358775,0.21353065897330287,0.23247724701324662,0.03271285466280986,-0.02284808961460577,-0.00861919621419134,-0.033391293280911005,0.017565630363020793,0.015309872988149047,-0.06516822137664607,-0.005489458968915099
accel_to_gyro_ratio,0.13182209199099051,0.05149421951445257,0.1318220919909903,0.05149421951445252,0.10567641061958494,0.01981990891458699,0.047940887389389605,0.3781679190138257,,,,,-0.03769743691330629,0.4092945991895475,-0.0345472075595721,1.0,0.038286263534293666,,0.034348640523291556,0.3771662400563917,0.45400527636634846,,-0.2861298579713417,0.2171146474603492,0.04876810994188678,0.0005818969129061218,-0.11040499826258801,-0.11585434722537288,0.13272367697897325,,0.3811536093721631,0.253532388325014,-0.6441582453303591,-0.10394495393240542,0.08109179792819075,0.10715513234212924,,0.1520311710723183,0.4093675597592775,-0.39020519845042684,-0.019390865348063054,0.4756839580206217,-0.06541841500514854,-0.20043334595835688,0.19479737076217538,0.2121669933425587,0.27483971303037924,0.010546748030226618,0.06748117066680248,0.0023564304313164453,-0.05871625139404419,-0.002051443340404876,0.036035694422726146,-0.6266325564602081,-0.07372299049603709
local_duration,0.05463174168084737,-3.849845549274903e-06,0.05463174168084743,-3.849845549273263e-06,0.041468635128940924,0.0821061528538984,-0.03209828187488335,0.06172708267526799,,,,,-0.0028172679713706155,0.03885613869783293,0.043026631629234015,0.038286263534293666,1.0,,-0.04056212277526359,0.06081340330060532,0.06468282228168887,,0.04726141591554777,-0.019317936494902908,-0.017956132801949673,0.037285738554971616,0.04811537451082017,0.043559849616375754,0.007612233248151462,,0.035940376034992956,0.02018868283987593,0.03334327843396729,0.05322772601821962,0.06854984489890355,0.0898645673862834,,-0.00091505421999601,0.038214248151293984,0.030497045240156822,-0.033667346596669034,-0.001213805438247451,-0.0055891583426759695,0.009094746140965728,-0.007741911901982212,-0.008976722722542232,-0.019559343876582896,-0.01396324015721283,0.007905330612213496,0.006946044785841572,-0.004788498154575185,-0.017901386484090103,0.039410930651042654,0.04328080574573834,-0.04033204233993494
top2_peak_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duration_above_threshold,0.03581996412250555,0.0530048370761864,0.03581996412250562,0.053004837076186494,0.05454953407868309,-0.0025270708306901397,0.3783781824624872,0.03657610126988505,,,,,0.004990897085553416,0.039907547645306594,0.025165033807866458,0.034348640523291556,-0.04056212277526359,,1.0,0.0333701487393031,0.050239935113609004,,-0.0770135407587903,0.08689717463868006,0.020907474570578004,0.024359701106912535,0.01055908670894935,0.03321147337456908,0.0450509482451697,,0.036959572571988064,0.02877979157420891,-0.05489750766453266,-0.011075852500722383,0.02369241119016358,0.03788223084024634,,0.028202083408018993,0.039934064605724316,-0.10146289522555513,0.08146547259882106,0.06422467136963082,-0.0049228858026920995,-0.013568552092531121,0.057245679556411216,0.06768261522888032,0.11763494062508387,0.06783647238551922,0.015655379629818538,0.023503237668369478,-0.011543842419030172,0.05407466634708099,0.17268536807526066,-0.04362892325490178,-0.009122315252104697
max_jerk,0.604183588463985,-0.009606414251363559,0.6041835884639822,-0.009606414251363552,0.5435871453331821,-0.10037249770808822,0.04288012995981679,0.956779933459183,,,,,0.017194303073722852,0.869823961357081,0.7343864769396914,0.3771662400563917,0.06081340330060532,,0.0333701487393031,1.0,0.955431196781672,,-0.06270168059760652,0.5584331353700661,0.04145655614058009,0.7214475196399239,0.5996031353701341,0.5451934231004949,0.34433145903476137,,0.783822533017326,0.524404553031009,-0.39427785536814824,0.14183265423006133,0.14365989147159247,0.7789290354380255,,0.5055237511740612,0.8698265186897421,-0.0030526301470621808,-0.11381134056682322,0.42177244195244323,0.1542755283182608,-0.4383374308131134,0.551376340870376,0.5623817438647021,0.5633555878133696,0.016412937022577925,-0.005450607876352824,-0.024726050333916675,-0.05486465378454212,-0.018348037966453803,0.05186876604931218,-0.34453945796559926,-0.03988625543157476
